No:,"Names of the C
ompanies a
warded","Product or services
 rendered",Unit Price,Quantity,"The full amount paid 
for the Products or 
services","Any donations 
received from
 external funders /
companies","The beneficiary targets and method 
of distribution"
,MBES Medical Supplies,Conti Suit,"7,206",34,"245,00",N/A,Employees
,,,"6,071",42,"255,00",N/A,Employees
,,Conti Suit,"5,300",50,"265,00",N/A,Employees
,,Conti Suit,"4,732",56,"265,00",N/A,Employees
,,Conti Suit,"6,176",34,"210,00",N/A,Employees
,,Conti Suit,"5,250",40,"210,00",N/A,Employees
,,Conti Suit,"151,333",6,"908,00",N/A,Employees
,,Boots Black,"64,857",7,"454,00",N/A,Employees
,,Boots Black,"170,250",8,"1 362,00",N/A,Employees
,,Boots Black,"6,500",400,"2 600,00",N/A,Employees
,,Gloves,"25,600",200,"5 120,00",N/A,Employees
,,Face Masks,"100,000",22,"2 200,00",N/A,Employees
,,Sanitizers,"7,206",34,"245,00",N/A,Employees
,World Base Trading 1,PPE for Staff at Zithabiseni,,,,N/A,Employees
,,Conti suite,"214,475",16,"3 431,60",N/A,Employees
,,Conti suite,"241,500",2,"483,00",N/A,Employees
,,Boots,"488,750",16,"7 820,00",N/A,Employees
,,Sanitiers,"115,000",22,"2 530,00",N/A,Employees
,,Gloves,"6,900",200,"1 380,00",N/A,Employees
,,Face Masks,"28,750",200,"5 750,00",N/A,Employees
,Bidvest Michem,Sanitizer,"425,500",10,"4 255,00",N/A,Employees
,Makro,Food Parcel,"2,628,490",3,"7 885,47",N/A,Employees
,Emalahleni Live,Disinfect,,,,N/A,Employees
,,Sanitizers,"466,060",4,"1 864,24",N/A,Employees
,,Face Masks,"25,000",102,"2 550,00",N/A,Employees
,,Gloves,"46,000",10,"460,00",N/A,Employees
,,Gloves,"26,700",34,"907,80",N/A,Employees
,,Cotton Floor Mop,"48,600",224,"10 886,40",N/A,Employees
,,Apron,"1,550",200,"310,00",N/A,Employees
,,Waist Plastic,"3,000",1000,"3 000,00",N/A,Employees
,,Waste plastic,"9,840",1000,"9 840,00",N/A,Employees
,Doha Medical Supplies Thermometer,Thermometer,,,,N/A,Employees
,,Thermometer,"2,298,833",42,"96 551,00",N/A,Employees
,,Face Shiel,"39,104",77,"3 011,00",N/A,Employees
,Ntimba Co-ordinates,Face Masks,,,,N/A,Employees
,,PPE for Head Office and Reserves,"1,725,000",95,"163 875,00",N/A,Employees
,,Sanitizer,"74,750",84,"6 279,00",N/A,Employees
,,Sanitizer,"23,000",94,"2 162,00",N/A,Employees
,,Hand soap,"253,000",167,"42 251,00",N/A,Employees
,,Disposable towels,"460,000",126,"57 960,00",N/A,Employees
,,Surgical Masks,"51,750",503,"26 030,25N/A",N/A,Employees
,,Spray Bottles,"2,242,500",35,"78 487,50",N/A,Employees
,,Sanitizer,"344,977",43,"14 834,00",N/A,Employees
,,Gloves,"597,926",27,"16 144,00",N/A,Employees
,Ntimba Co-ordinates,Disinfectant,"25,000",194,"4 850,00",N/A,Employees
,,Cloth Masks,"1,725,000",95,"163 875,00",N/A,Employees
,MKO Solutions,Cloth Masks,194,"25,000","4 850,00",N/A,Employees
,Bomsa Trading,Face Masks,180,"28,000","5 040,00",N/A,Employees
,Bomsa Trading,Face Masks,112,"28,000","3 136,00",N/A,Employees
,Petty Cash,Rechargable Batteries,,,"500,00",N/A,Employees
,World Base Trading,Disinfection,,,,N/A,Employees
,,Coverall,14,"327,750","4 588,50",N/A,Employees
,,Gloves,24,"30,188","724,50",N/A,Employees
,,Boots,14,"241,500","3 381,00",N/A,Employees
,,Face Shield,14,"493,214","6 905,00",N/A,Employees
,,Goggles,14,"115,000","1 610,00",N/A,Employees
,Petty Cash,Andover Petty Cash,,,"5 000,00",N/A,Employees
,Petty Cash,Mask,194,,"490,00",N/A,Employees
,,,,,,,
